,image domain,model,accuracy corr,accuracy corr std,human accuracy ceiling,model accuracy ceiling,dprime corr,dprime corr std,human dprime ceiling,model dprime ceiling,accnorm corr,accnorm corr std,dpnorm corr,dpnorm corr std
20,silhouette,densenet121,0.5434160970792319,0.036581587244493,0.8277379133715534,0.979358169751166,0.577484319726884,0.0443111885032247,0.6228299782658557,0.9080926898468183,0.603552842650426,0.04062986188438054,0.7678746893536835,0.05892011080560283
21,silhouette,densenet169,0.5021423821965699,0.0419275538532668,0.8277379133715534,0.9717525734882478,0.492632798530103,0.0538059663370782,0.6228299782658557,0.9175455834559626,0.5598898634909281,0.0467493150064847,0.6516655223302655,0.0711757180239678
22,cue-conflict,alexnet,0.1866278311315555,0.0209290496139515,0.7228302656528401,0.9670389410999772,0.2290120200729561,0.0247328518519882,0.6033446913429416,0.9456031586284868,0.22322162393564188,0.025032796094397465,0.303194328052772,0.032744396541733556
23,cue-conflict,resnet18,0.2547990683989627,0.0170403984982299,0.7228302656528401,0.9464220319080348,0.3212903028516661,0.0214428644834445,0.6033446913429416,0.9055924390504166,0.30806137577120873,0.020602463886699646,0.43465879939063573,0.029009060183721503
24,cue-conflict,resnet34,0.2760825642597724,0.0141091596552323,0.7228302656528401,0.9388201122422584,0.3239969754450725,0.0188256267690699,0.6033446913429416,0.893652072006403,0.3351425913108205,0.01712741382546493,0.44123908445011384,0.025637900811799962
25,cue-conflict,resnet50,0.2427564218380011,0.0149331718607436,0.7228302656528401,0.9692008396774924,0.2917578013478784,0.0180745653842601,0.6033446913429416,0.9400363315815596,0.2900318363201924,0.017841321041330745,0.38740695221360444,0.024000085878603843
26,cue-conflict,resnet101,0.2813559770064199,0.0150109520994083,0.7228302656528401,0.9690159990999906,0.3342853083803998,0.0180299625011823,0.6033446913429416,0.938778273230832,0.3361804912241611,0.017935958937905512,0.44417389151672454,0.023956896720503072
27,cue-conflict,vgg11,0.2088957825720401,0.0194180506571259,0.7228302656528401,0.9653673703393872,0.2764488317992252,0.0238530105390702,0.6033446913429416,0.945184370559421,0.2500720763002946,0.02324562126503036,0.36607809714638995,0.031586549498235486
28,cue-conflict,vgg13,0.2219102404434301,0.0186226852451949,0.7228302656528401,0.9692943761986584,0.2793289778216549,0.0220882609128496,0.6033446913429416,0.9569316854790432,0.26511318862243616,0.022248272347414253,0.36761462151145263,0.0290695499573547
29,cue-conflict,vgg16,0.1764468955606452,0.0196812129250096,0.7228302656528401,0.9771978931943096,0.2588910179828671,0.0210118625782517,0.6033446913429416,0.9559477849831026,0.20994454576239627,0.023417602755011226,0.3408922670790703,0.027667168701573566
30,cue-conflict,vgg19,0.2236220151317037,0.018881690709245,0.7228302656528401,0.9832262451622296,0.2732534941346354,0.0205543480199612,0.6033446913429416,0.9689248975803392,0.2652587148009882,0.022397316327975484,0.3573863147806393,0.02688288658425453
