,image domain,model,accuracy corr,accuracy corr std,human accuracy ceiling,model accuracy ceiling,dprime corr,dprime corr std,human dprime ceiling,model dprime ceiling,accnorm corr,accnorm corr std,dpnorm corr,dpnorm corr std
14,silhouette,resnet50,0.1836942066113832,0.05659759351386,0.7179606087145742,1,0.1670592488802137,0.0719557857166645,0.4129089699833499,1,0.21679294802432833,0.06679556952446623,0.2599820510472031,0.1119795095496035
15,silhouette,resnet101,0.2050228879829637,0.0659799084056443,0.7179606087145742,1,0.140388750610999,0.0784121030424872,0.4129089699833499,1,0.24196471471917397,0.07786842665047007,0.2184767115406602,0.1220270024710073
16,silhouette,vgg11,0.0787317986518547,0.0453919645642642,0.7179606087145742,1,0.0603545414362887,0.0750137585367811,0.4129089699833499,1,0.09291800241203532,0.05357086647441865,0.09392534431823474,0.11673840827056307
17,silhouette,vgg13,0.2091551299460656,0.0552720268543033,0.7179606087145742,1,0.1468994100374167,0.0738032384781202,0.4129089699833499,1,0.24684152021922934,0.06523115707385468,0.2286087730858642,0.11485456472527035
18,silhouette,vgg16,0.1380782668026001,0.0637241002223612,0.7179606087145742,1,0.1579994063861227,0.0651137236079524,0.4129089699833499,1,0.16295774956884482,0.07520615811597052,0.24588288294028032,0.10133171032664169
19,silhouette,vgg19,0.1931609846813243,0.0515162912170329,0.7179606087145742,1,0.1690345900655342,0.0646288627741758,0.4129089699833499,1,0.2279654872346499,0.0607986982836523,0.2630561295931079,0.10057715698773567
20,silhouette,densenet121,0.2687316266614787,0.0620995434803023,0.7179606087145742,1,0.2754765477992178,0.0676414506830321,0.4129089699833499,1,0.31715274338817906,0.07328888237907788,0.42870393822730757,0.10526542650142212
21,silhouette,densenet169,0.2195379296269687,0.0633786307940958,0.7179606087145742,1,0.1522921275799191,0.0712204550950631,0.4129089699833499,1,0.25909513340111373,0.07479844065341394,0.2370010637062015,0.11083516845814545
22,cue-conflict,alexnet,0.1404526509525231,0.0221354832492302,0.6733969343574184,1,0.1648121706897671,0.025059873736949,0.5373271842371,1,0.17115688472886775,0.026974502291074176,0.22483808258969912,0.034186880358256226
23,cue-conflict,resnet18,0.1891994387339327,0.0198897215250427,0.6733969343574184,1,0.2275555242024486,0.0246619219939272,0.5373271842371,1,0.23056016605266122,0.024237796519068537,0.31043306771730445,0.03364399140479008
